Term	Overlap	P-value	Adjusted P-value	minuslogQval	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
NFIL3_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.26	2.88	FCN1;EPHB6;CSRNP1;CXCL8;DYSF;ARRB2;DCAF5;ETS2;NFKBIZ;CASP4;FFAR2;MAP3K8;SRGN;CNTNAP3P1;APAF1;IL1R2;NFAM1;OSCAR;CEACAM3;APBB1IP;FGR;MAPKAPK2;ADAM8;LCP2;BCL2A1;CEBPD;CLEC12A;FPR1;NCF1B;OPRL1;CSF2RB;CFP;PTGS2;ADGRG3;TMEM127;HLX;CHST15;CD300LB;RPH3AL;CARD8;WDR19;KLF4;PTPRE;BST1;RNF103;VNN2;ATG16L2;P2RX1;BCL3;MXD1;ZNF257;MYO1F
MAX_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.25	2.87	DOCK8;LST1;PIK3CD;PTPRJ;ARRB2;SLA2;FAM198A;VSIG2;TUBB1;CASP4;RAC2;RGS6;PRKCB;GP1BA;ANO6;HLA-E;APBB1IP;TPST2;RAB32;FGR;BANK1;TAL1;LGALS12;LCP2;STK40;LEPROT;CLEC12A;WBP2;KCNA3;ARHGAP18;GMPR;CSF2RB;CFP;PRKAR2B;GAS2L1;NFE2;RPL23AP7;TRAPPC1;SEMA4D;PCGF5;SMOX;SLC10A3;GPR55;RAB27B;PDZK1IP1;GNG11;MARCH2;ABTB1;P2RX1;HPSE;GGTA1P;PF4
GBX1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.25	2.86	CLIC5;HSPB6;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;C10ORF71;SLN;CA3;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;MYOZ1;ACTN3;ACTN2;S100A1;TPM2;SHISA4;SYPL2;DUSP27;RNF123;ACTA1;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;ALPK3;FBP2;RTN2;PFKFB1;DCUN1D2;PPM1J;ITPRIPL1;ABLIM2;NRAP;PACSIN3;SMYD1;D2HGDH;SH3BGR;CTC1;FKRP;ANKRD23;DUPD1;MAPK12;NT5C1A;HRC;TCAP
HLA-DRB3_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.24	2.84	DENND1C;CIITA;CD83;CLEC10A;LST1;PIK3CD;LSP1;ICAM1;LIMD2;LGALS2;GPR132;FCGRT;RAC2;CASP1;MAP3K8;CTSB;HLA-H;DUSP2;ANXA11;TNFRSF1B;RUNX3;HLA-E;OSCAR;APBB1IP;FGR;KCNQ1;NINJ1;RAPGEF1;IGHD;CHMP4B;IRF8;CD48;LCP2;PLEKHO2;GRN;SLC43A2;CD1C;CFP;SAMHD1;POLD4;DPP7;HLX;SEMA4A;LILRB1;LILRB2;MCOLN2;ISG20;PTPRE;BCL3;TNFSF9;NFKBID;CD22
FGD1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.24	2.83	B4GALT2;GPSM1;CNTFR;PTPRS;CHPF;LAMC1;NDST1;PTBP1;GPR176;RIMS4;DAG1;RBPMS2;PHGDH;PTGFRN;RBFOX2;SEMA6A;USP5;IGFBP2;SREBF2;CKAP4;SFRP1;SFRP2;SMO;MFGE8;PHC1P1;GTF3C1;ISYNA1;AHCY;MAGED1;SEZ6L2;GPC1;NACC1;SH3BP4;PLXNA1;MAP4;RPRM;CD276;B4GALNT4;ICMT;NR2F1;MARCH4;SMARCA4;COL1A1;VANGL2;UBE2S;CARM1;CALU;DCHS1;MEGF8;ZNF532;NES;CDK16
ZNF219_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.23	2.82	CNTFR;PTPRS;CHPF;MAML1;CIB2;PTPRF;NDST1;PTBP1;DAG1;PHGDH;CCHCR1;PELP1;TPRN;RPS9;CLUH;GPT2;IGFBP2;SREBF2;EPN1;CARHSP1;SFRP2;SMO;MMP15;POLR1A;ERF;TKT;MFGE8;MDFI;CRB2;ISYNA1;PKDCC;SNX33;APH1A;EFS;GPC1;NACC1;TMEM129;PLXNA1;CD276;B4GALNT4;CENPV;PTGES2;SMARCA4;VANGL2;FASN;GIPC1;CARM1;MGAT4B;MEGF8;LSM14B;NES;CDK16
HIVEP3_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.22	2.80	PRDM8;IL1RN;TRAC;PTPRJ;CD3E;ICAM1;ZFYVE28;GPR132;FCGRT;ZMIZ2;SLCO2B1;TRBC1;FLVCR2;CTSD;CTSB;DUSP2;SERPINB2;PLAUR;TNFRSF1B;RUNX3;DGKZ;GFOD1;NINJ1;MAPKAPK2;RAPGEF1;MMP19;LCP2;PLEKHO2;GRN;PFKFB3;SLC43A2;INSIG1;SH2D2A;ZC3HAV1;SOCS3;DPP7;HLX;HEATR4;PLK3;EGR2;TNFSF14;LILRB1;NFATC1;LILRB2;MCOLN2;GPR137B;LACC1;RGCC;NFIC;BCL3;PTPN7;LGMN
EZH1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.22	2.79	TRAF3IP3;DOCK8;PIK3CD;LSP1;ARRB2;ITGAL;IKZF3;ETS1;LIMD2;ZFYVE28;PSD4;TAGAP;TBC1D10C;FFAR2;PRKCB;NFAM1;SYTL1;TMC8;DGKZ;HLA-E;CEACAM3;APBB1IP;ITPKB;FGR;ZAP70;GVINP1;PACS1;ADAM8;ZNF276;AKNA;RGS14;WBP2;FPR1;NCF1B;CSF2RB;CFP;CORO1A;LILRA5;ADGRG3;SPOCK2;S1PR4;WDTC1;NSUN5P1;DENND4B;SEMA4D;CARD8;ABTB1;VNN2;ATG16L2;SELL;CD5;MYO1F
ZNF276_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.21	2.77	DENND1C;TRAF3IP3;DOCK8;PIK3CD;LSP1;ARRB2;CD3E;ITGAL;ETS1;LIMD2;PPP6R1;PSD4;TAGAP;RAC2;TBC1D10C;NFAM1;SYTL1;TMC8;ARHGEF18;TNFRSF1B;RUNX3;DGKZ;EML3;HLA-E;APBB1IP;CEACAM3;ITPKB;FGR;SIGIRR;ZAP70;PACS1;IRF1;ADAM8;LCP2;AKNA;RGS14;FPR1;CSF2RB;CFP;CORO1A;ADGRG3;SPOCK2;S1PR4;DENND4B;SEMA4D;ABTB1;CD6;ATG16L2;CD7;CCDC88C;MYO1F;ENGASE
ZBED1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.20	2.75	SYNM;WDR1;INPPL1;ZDHHC7;LSP1;WDR46;TRIOBP;MYOM3;TMEM102;FCGRT;C6ORF106;PPP6R1;FLVCR2;SDF4;CAPN3;SYNPO;MAF1;ABCD1;CLUH;ANXA11;TBC1D2B;BET1L;EML3;POR;KCNQ1;MAPKAPK2;RAPGEF1;CHMP4B;PLEKHO2;STK40;ERGIC1;GRN;REP15;AK1;SLC38A10;KIAA0040;ADD1;APH1A;PDPR;DPP7;OS9;TMEM127;NACC1;MLEC;WDTC1;KIAA2013;EEPD1;PFKL;DES;SH3BP5L;CARM1;NUCB1
MXD1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.20	2.74	FCN1;STEAP4;DOCK8;LST1;DYSF;PIK3CD;PTPRJ;LSP1;ARRB2;CASP4;TAGAP;CASP1;FFAR2;APAF1;IL1R2;NFAM1;TNFRSF1B;HLA-E;OSCAR;CEACAM3;APBB1IP;FGR;IRF1;PELI1;ADAM8;LCP2;MCTP2;STK40;AKNA;RGS14;CLEC12A;FPR1;FAM129A;NCF1B;CSF2RB;CFP;LILRA5;ADGRG3;C10ORF105;CHST15;CD300LB;S1PR4;NTNG2;GCA;SEMA4D;LILRB2;ABTB1;BST1;VNN2;ATG16L2;SELL;MYO1F
IFI16_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.18	2.70	DENND1C;TRAF3IP3;DOCK8;TRAC;PIK3CD;LSP1;ARRB2;CD3E;IKZF3;ETS1;LIMD2;DOCK11;SEPT6;PSD4;CASP4;TAGAP;RAC2;TBC1D10C;CASP1;LRRFIP1;GBP5;SP110;RUNX3;HLA-E;APBB1IP;CEACAM3;GVINP1;IRF1;CD48;ADAM8;LCP2;MCTP2;SLFN5;AKNA;FPR1;FAM129A;NCF1B;CSF2RB;SAMHD1;CORO1A;KIAA0040;APOL6;S1PR4;SEMA4D;EDEM1;CARD8;ISG20;VNN2;SELL;FAS;IL18R1;MYO1F
NR2F1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.18	2.70	GPSM1;CNTFR;PTPRS;TRIL;STMN3;DACH1;SOX9;SLC16A2;RBFOX2;TLE1;EBF3;ATP1B2;SORCS2;FJX1;CERS1;RNF165;CRB2;C11ORF95;ADCYAP1R1;BRSK2;MAGED1;NREP;SEZ6L2;DTX4;NPAS3;FAM171A1;CUX2;FAM168A;EFS;GPC1;NCAM1;SRGAP3;PAK3;MAPK4;TCEAL9;LRRC4B;B4GALNT4;NTRK2;TGFB2;ST8SIA2;SCD5;DCLK2;VANGL2;SBK1;B4GAT1;ID4;CSPG5;C16ORF45;DCHS1;MEGF8;ZNF532;NES
TFCP2L1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.18	2.69	CLIC5;LAD1;ST6GALNAC1;MAST2;CTNND1;PTPRK;F11R;ABCA13;PTPRF;BAIAP2L1;VSIG2;CA4;DAG1;A4GALT;TINAG;SH3D19;SLC13A3;RIPK4;PLEKHG6;NPNT;ATP1B1;KIAA1217;CEACAM1;SPINT1;COL4A4;ESRP1;ELMO3;PKHD1L1;LLGL2;FKBP5;ITGA9;SLC26A2;ARHGEF28;ATP10B;MST1R;MROH1;HSD11B2;TSPAN8;INPP5J;ZBTB7C;CA12;AFAP1L2;GALNT3;CDC42BPG;NET1;FERMT1;KLF5;DHRS9;TMEM54;WNK1;MYO5B;SLC26A4
ISL1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.18	2.69	BTG2;PTPRN;KCNC4;PDE3B;ARHGAP1;LCLAT1;SCGN;SMPD1;FFAR4;FAM3B;PLCE1;C3ORF14;WSB2;GPX3;DYNLT3;VWA5A;SSTR2;ZDHHC14;SLC7A8;CDC42EP3;ALDH1A1;SCG2;SAMD5;C2CD4B;LIN7C;PTS;PAPSS2;STRN3;IGSF22;ACVR1C;KIAA1324;TSPAN7;TSPAN2;SLC36A4;CHGA;EGR1;RPH3AL;ABCA5;WSCD2;TMEM176B;NR0B2;MPP6;USH2A;BMP5;SPCS1;RIMBP2;CNTN1;CPE;CYSTM1;CNTN4;PAM;C2ORF70
MITF_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.17	2.67	ST6GALNAC1;CRYBG3;HEXA;PTPRM;MYPN;MYOM3;EPS8;C10ORF71;CA3;KDR;AP1S2;SLC16A6;CAPN3;PGM5;MYOZ1;CTSD;MYOZ2;CTSB;ACTN2;S100A1;ANO6;DUSP27;ANO2;ETV5;RAB32;OBSCN;CTTN;MYOT;MYL2;RAB38;C9ORF3;DSC1;ROPN1;CD63;OCA2;GMPR;TTN;CMYA5;NRAP;STOM;SMYD1;XIRP2;DMD;SORT1;SAMD4A;CABLES1;GPR137B;FABP3;OSTM1;SLMAP;NT5C1A;TCAP
IRF7_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.17	2.67	IFITM3;IL1RN;SCT;PIK3CD;LSP1;ARRB2;ICAM1;HERC5;GPR132;RAC2;CASP1;FFAR2;ABCD1;SP110;NFAM1;SHISA5;TNFRSF1B;RUNX3;HLA-E;OSCAR;CEACAM3;FGR;IRF1;NINJ1;MAPKAPK2;IRF8;ADAM8;PLEKHO2;STK40;GRN;MVP;FPR1;IFI6;NCF1B;CSF2RB;CFP;CORO1A;LILRA5;ADGRG3;SOCS3;HLX;S1PR4;APOL3;NTNG2;SEMA4A;LILRB1;LILRB2;ISG20;ABTB1;ATG16L2;BCL3;MYO1F
RCOR2_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.17	2.67	GPSM1;CNTFR;PTPRS;CIB2;GPR176;RIMS4;RBPMS2;DNMT3B;PHGDH;PELP1;RBFOX2;SEMA6A;IGFBP2;EBF3;SREBF2;CLDN6;HIC2;SFRP1;CARHSP1;SFRP2;SMO;MMP15;MFGE8;PHC1P1;MDFI;CRB2;C11ORF95;BRSK2;PKDCC;FIGNL2;FAM171A1;EFS;PCBP4;NACC1;PLXNA1;GPC4;PATZ1;RPRM;B4GALNT4;CENPV;NLGN4X;HMGA1;SMARCA4;FRAS1;SBK1;CARM1;SERBP1;DCHS1;MEGF8;LSM14B;ZNF532;NES
SP6_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.16	2.66	LAD1;SH2D4A;SYCP2;CTNND1;INPPL1;SLC2A1;SLC2A3;F11R;PTPRF;BAIAP2L1;PPP1R13L;DAG1;MYBL2;A4GALT;CLUH;RIPK4;PLEKHG6;VPS37C;ANO9;HIC2;SPINT1;ESRP1;ERF;CHMP4B;ELMO3;MDFI;KANK4;TNFRSF21;PTGES;LLGL2;ERVFRD-1;AHCY;STAU1;IFI6;FIGNL2;SLC1A5;PLD2;APH1A;FAM83G;MICALL1;PLXNA1;YKT6;TFAP2C;CDC42BPG;RARRES1;SEMA4C;ARHGAP29;BMP7;KLF5;TMEM54;GIPC1;NOTUM
SSH3_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.16	2.65	LAD1;CLTB;INPPL1;ZDHHC7;CELSR1;PTPRF;SMG5;HID1;NDST1;PPP6R1;SDF4;TPRN;ENTPD2;CLUH;ITPK1;TFE3;VPS37C;ANXA11;EML3;SPINT1;RPUSD1;PACS1;DNAJC5;ERF;ELMO3;TKT;CUEDC1;ERGIC1;LLGL2;SLC27A4;CERS2;KRT80;IDUA;SLC38A10;MST1R;GATA3;APH1A;MROH1;MUC1;DPP7;IRAK1;NACC1;RHPN1;PTGES2;CDC42BPG;RASSF7;PFKL;SH3BP5L;FASN;GIPC1;MGAT4B;NUCB1
SALL1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.15	2.63	CNTFR;PTPRS;RIMS4;RBPMS2;DNMT3B;PHGDH;SOX9;MAGI1;TLE1;SEMA6A;GPT2;SEMA6D;ATP1B2;CLDN6;SFRP1;SFRP2;SMO;TYRO3;MFGE8;ALDH7A1;PHC1P1;CERS1;ADCYAP1R1;FIGNL2;SLC1A3;NTN1;LRP6;GJC1;EFS;GTF2IP4;CHST10;CKB;GPC4;MEST;B4GALNT4;NTRK2;CENPV;NLGN4X;KLHL25;DCLK2;KLHL23;QKI;GULP1;FRAS1;ID4;CSPG5;FAT3;TCF4;ZNF532;NES;FGFR2;SPSB4
TBX3_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.15	2.62	NRP1;TRIO;SETD7;CTNND1;MRGPRF;INPPL1;PTPRM;PTPRK;NDST1;ADAMTS1;DAG1;BDKRB2;SDF4;SH3D19;PDGFRB;OSR2;CLUH;MME;SORD;OSMR;CKAP4;FOLH1;FRMD6;LOX;TRNP1;ACPP;STEAP2;ERGIC1;CERS2;GTF3C1;SLC22A3;CEMIP;SEC23A;LRP1;EPAS1;TWIST2;SNX33;NID2;DPP4;COBLL1;MLEC;SH3BP4;MAP4;ADAM33;CYBRD1;COL1A1;NFIC;DLC1;MGAT4B;CALU;MKX;AMOTL1
RARG_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.14	2.62	LAD1;CHPF;WDR1;MRGPRF;CLTB;INPPL1;ZDHHC7;LAMC1;NDST1;PTBP1;DAG1;SDF4;AP2M1;CERS3;CLUH;USP5;RIPK4;TFE3;EMP1;ANXA11;CKAP4;FRMD6;PKM;SPINT1;ERF;ELMO3;TKT;MFGE8;SLC27A4;MEGF6;KRT80;SEMA3C;TWIST2;SNX33;SLC1A5;PLD2;APH1A;FAM83G;IRAK1;GPC1;MICALL1;NACC1;TSPAN4;PLXNA1;YKT6;AHNAK2;SLC10A3;ADAM33;GIPC1;CARM1;MGAT4B;NUCB1
KLF13_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.13	2.60	DENND1C;FCN1;DOCK8;PIK3CD;PTPRJ;LSP1;ARRB2;ITGAL;ETS1;PPP6R1;PSD4;TBC1D10C;NFAM1;TMC8;ARHGEF18;ANXA11;TBC1D2B;TNFRSF1B;RUNX3;DGKZ;EML3;HLA-E;APBB1IP;ITPKB;FGR;ZAP70;PACS1;KCNQ1;MAPKAPK2;RAPGEF1;ADAM8;LCP2;PLEKHO2;STK40;ZNF276;AKNA;CSF2RB;CFP;SAMHD1;CORO1A;ADD1;TMEM127;SPOCK2;CD300LB;WDTC1;DENND4B;SEMA4D;ABTB1;SH3BP5L;CCDC88C;MYO1F;ENGASE
TFEC_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.13	2.58	IL1RN;CD83;ADPGK;DOCK8;PTPRJ;ARRB2;ICAM1;LACTB;DOCK11;FCGRT;CCRL2;CASP4;CASP1;FLVCR2;SLC39A8;MAP3K8;CTSD;ABCD1;CTSB;SRGN;PLAUR;TNFRSF1B;MMP9;OSCAR;FGR;NPC2;IL1B;NINJ1;ATP6V1B2;RAPGEF1;MMP19;LCP2;PLEKHO2;GRN;PFKFB3;SLC43A2;BCL2A1;CLEC12A;CSF2RB;SAMHD1;SOCS3;ZNRF2;APOL6;HLX;C11ORF45;NR1H3;LILRB1;LILRB2;LACC1;PTPRE;BCL3;LGMN
SNAI1_human_tf_ARCHS4_coexpression	51/299	0.13	0.98	0.01	0.00	0.00	-1.28	2.58	CSRNP1;IL1RN;CDKN1A;CD83;CXCL8;MPV17L2;GPATCH3;CXCL3;CXCL2;ETS2;ICAM1;GPR132;PNP;CCRL2;FAM53C;MAP3K8;A4GALT;PDGFRB;DUSP2;SERPINB2;MAMDC2;PLAUR;MED26;IL1B;NINJ1;MAPKAPK2;MMP19;ATF3;PFKFB3;BCL2A1;INSIG1;PTGS2;FAM214B;SOCS3;SERTAD1;HLX;HAS1;PLK3;GADD45B;SIAH1;LILRB1;LILRB2;KLF4;TNFRSF10D;NR4A2;YRDC;SPSB1;BCL3;TNFSF9;FOSB;PTX3
SPI1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.12	2.56	FCN1;LST1;DYSF;PIK3CD;PTPRJ;LSP1;ARRB2;LIMD2;FCGRT;RAC2;TBC1D10C;FFAR2;IL1R2;NFAM1;TNFRSF1B;HLA-E;OSCAR;CEACAM3;APBB1IP;FGR;KCNQ1;NINJ1;ADAM8;PLEKHO2;STK40;GRN;AKNA;SLC43A2;RGS14;CLEC12A;FPR1;NCF1B;CSF2RB;CFP;CORO1A;LILRA5;ADGRG3;C10ORF105;HLX;CHST15;CD300LB;S1PR4;SEMA4A;LILRB1;LILRB2;ABTB1;BST1;VNN2;ATG16L2;BCL3;MXD1;MYO1F
BMP2_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.11	2.55	STEAP4;CTNND1;PTPN21;SLC2A3;F11R;SIPA1L2;PVR;NPPB;XPO4;MMP28;DAG1;SLC16A6;RSPO3;TMED7;SH3D19;LEFTY1;GLP2R;APOA4;OSMR;TM4SF1;INMT;TMEM37;MMP15;TBL1XR1;APLNR;SIK1;ALPK2;ROR2;PHLDB2;TNFRSF21;MYH6;RASL12;EPAS1;NPR1;SNX33;FAM83G;ERBB4;S100A13;NAALAD2;HAS2;DMD;LRIG3;GPC4;S100A10;TCEAL9;TGFB2;COL22A1;AGL;FERMT1;KLF5;AMOTL1;RAB17
ZNF358_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.10	2.52	B4GALT2;CNTFR;HSPB6;STMN3;NDST1;ADORA1;SPEG;EVI5L;SYNPO;PRKACA;SCN1B;TPRN;ZER1;S100A1;TPM2;SHISA4;SYPL2;EPN1;ACTA1;CUEDC1;CERS1;RTN2;CAMK2B;SPTBN4;BRSK2;WBP2;DCTN1;TMEM59L;CRIP2;CCDC106;SEZ6L2;ADD1;ABLIM2;KLC2;GPC1;NACC2;PACSIN3;MAP4;PACSIN1;LRRC4B;B4GALNT4;DMPK;IQSEC2;KCNJ9;ANKRD23;NFIC;NEURL1;NUCB1;TCAP;MAP3K10;MEGF8;CDK16
XBP1_human_tf_ARCHS4_coexpression	52/299	0.10	0.84	0.08	0.00	0.00	-1.08	2.48	RET;BTG2;CDKN1A;CCDC47;INPPL1;F11R;CELSR1;TSKU;HID1;SERP1;TMED3;MAF1;MREG;IGHV3-74;VPS37C;GFRA1;TC2N;PRLR;RHOB;SPINT1;GPR160;TFF3;ELMO3;ERGIC1;LLGL2;CERS2;KRT80;SEMA3C;AC234582.1;ZBTB42;GATA3;SLC1A5;ZFP36L2;APH1A;MUC1;DPP7;KIAA1324;RHPN1;CACNG4;CA12;TFAP2C;GALNT3;IRX5;CDC42BPG;IGHV3-15;ESR1;BMP7;PFKL;TSPAN13;MYO5B;TRIM37;IGKV3-20
CREM_human_tf_ARCHS4_coexpression	51/299	0.13	0.98	0.01	0.00	0.00	-1.20	2.43	CSRNP1;IL1RN;CD83;CXCL8;CCL4L2;TRAC;CMAHP;CD3D;ICAM1;LACTB;RASGEF1B;TRBC1;CCRL2;PDE4B;MAP3K8;CD96;BATF3;DUSP2;LAG3;ATP6V0E1;PLAUR;RUNX3;CD8A;NINJ1;ATF3;BCL2A1;SH2D2A;CST7;SOCS3;SERTAD1;DNAJB6;CCL5;CCL4;ICOS;ZNF267;SERF2;PLK3;EGR2;TNFSF14;TRAT1;GPR137B;CD2;ISG20;NR4A2;SPCS1;RGCC;ID2;ALOX5AP;SNAI1;PTPN7;NFKBID
CREB5_human_tf_ARCHS4_coexpression	51/299	0.13	0.98	0.01	0.00	0.00	-1.19	2.41	FCN1;STEAP4;DOCK8;LST1;DYSF;PIK3CD;PTPRJ;ARRB2;TAGAP;PIEZO2;ITGB8;FFAR2;PLEKHG3;APAF1;IL1R2;NFAM1;HLA-E;OSCAR;CEACAM3;APBB1IP;FGR;PELI1;ADAM8;MCTP2;AKNA;CLEC12A;FPR1;FAM129A;NCF1B;CSF2RB;CFP;LILRA5;ADGRG3;C10ORF105;CHST15;CD300LB;SLC15A4;NTNG2;SEMA4D;CARD8;KCNJ15;LILRB2;DDHD1;ABTB1;BST1;VNN2;ATG16L2;SELL;SLCO4C1;MXD1;MYO1F
EBF3_human_tf_ARCHS4_coexpression	51/299	0.13	0.98	0.01	0.00	0.00	-1.18	2.38	CNTFR;PTPRS;STMN2;STMN3;KLHL35;DACH1;PEG10;KIF21A;EVI5L;GYG2;CHST8;RBFOX2;CACNA2D1;ELMOD1;EBF1;GFRA1;GAP43;RNF165;GPM6A;C11ORF95;BRSK2;NXPH4;PTN;NREP;KLC1;LRRC55;NPAS3;GNG2;PCBP4;PLXNA1;NCAM1;SRGAP3;ASIC1;B4GALNT4;ST8SIA2;H3F3A;PBX3;NR2F1;DCLK2;MARCH4;GRIN2D;ENOX1;GRIN3A;VANGL2;SBK1;ZNF536;DCHS1;FAT3;NACAD;ZNF532;NES
ZNF784_human_tf_ARCHS4_coexpression	51/299	0.13	0.98	0.01	0.00	0.00	-1.16	2.34	HSPB6;KLHL34;EMC10;DUSP13;KBTBD12;C10ORF71;SLN;CA3;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;PRKACA;MYOZ1;ACTN3;ACTN2;S100A1;TPM2;SHISA4;SYPL2;DUSP27;DEXI;C1ORF122;RNF123;ACTA1;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;CHMP4B;FIZ1;FBP2;RTN2;PFKFB1;C1ORF226;NRAP;PACSIN3;SMYD1;VARS2;SH3BGR;F8A1;ANKRD23;DUPD1;NT5C1A;HRC;TCAP;ZNF579;LSM14B
ZNF319_human_tf_ARCHS4_coexpression	51/299	0.13	0.98	0.01	0.00	0.00	-1.15	2.33	AVEN;DYSF;PIK3CD;LSP1;ARRB2;PPP6R1;TAGAP;RAC2;TBC1D10C;FFAR2;DGCR2;NFAM1;TFE3;SHISA5;ARHGEF18;TNFRSF1B;EML3;HLA-E;OSCAR;CEACAM3;APBB1IP;FGR;PACS1;MAPKAPK2;ADAM8;PLEKHO2;STK40;GRN;AKNA;RGS14;IGSF1;FPR1;NCF1B;CSF2RB;CFP;CORO1A;ADGRG3;CHST15;CD300LB;S1PR4;WDTC1;DENND4B;SEMA4D;LILRB2;ABTB1;SH3BP5L;VNN2;ATG16L2;BCL3;MXD1;MYO1F
ZNF655_human_tf_ARCHS4_coexpression	51/299	0.13	0.98	0.01	0.00	0.00	-1.14	2.30	DENND1C;CIITA;TRAF3IP3;ADPGK;DOCK8;PIK3CD;PTPRJ;CD3E;ITGAL;IKZF3;N4BP2L2;ETS1;LIMD2;GPR174;DOCK11;NFKBIZ;TAGAP;TBC1D10C;BCAS4;PRKCB;COPZ2;TMC8;ATP11B;RUNX3;HLA-E;APBB1IP;FGR;ZAP70;GVINP1;BANK1;LCK;RAPGEF1;CD48;LCP2;MS4A1;ZNF276;MACF1;AKNA;CXCR4;LY9;RASGRP1;NSUN5P1;SEMA4D;CARD8;DDHD1;CD6;CD5;CD7;CCDC88C;IL7R;CD22
ZHX2_human_tf_ARCHS4_coexpression	51/299	0.13	0.98	0.01	0.00	0.00	-1.13	2.29	DENND1C;BTG2;PIK3CD;PTPRJ;ETS1;ICAM1;FAM107B;GPR132;ZMIZ2;PSD4;TAGAP;IGHV3-7;ABCD1;ARHGEF18;ATP11A;TNFRSF1B;RUNX3;HLA-E;APBB1IP;ITPKB;PACS1;KCNQ1;NINJ1;MAPKAPK2;RAPGEF1;IGHD;CHMP4B;LCP2;STK40;PFKFB3;AKNA;LY9;KIAA0040;ADD1;ZFP36L1;SOCS3;SPOCK2;CHST15;SUSD3;SLAMF1;WDTC1;DENND4B;SEMA4D;LILRB1;NFATC1;LILRB2;ISG20;CD7;CCDC88C;BCL3;CD22
FOXE1_human_tf_ARCHS4_coexpression	51/299	0.13	0.98	0.01	0.00	0.00	-1.12	2.26	CRYBG3;CPQ;FLT4;CTNND1;PTPRM;LAMC1;ARHGAP5;NDST1;IGHG1;MPRIP;AKT2;IGLV7-46;ANXA1;GPX3;RIPK4;DIO2;SORD;EMP1;ATP11A;OSMR;NPNT;KIAA1217;GOLGA8B;POR;KCNQ1;COL4A4;PKHD1L1;FKBP5;MATN2;ITGA9;GTF3C1;MACF1;EPAS1;ARHGEF28;NOD1;SLC5A3;NID2;MROH1;SNX1;INPP5J;LRIG3;DUOX2;SASH1;ZBTB7C;AFAP1L2;FZD6;CYBRD1;MYO5B;ID4;ESYT3;SLC26A4
